wage;kids5;kids618;age;educ;exper;motheduc;fatheduc
0.1282;1;2;36;10;1;10;7
0.1616;0;2;35;12;17;10;10
0.1709;0;2;44;14;10;16;12
0.2137;1;2;39;13;1;12;16
0.3571;0;2;32;12;2;7;7
0.3826;0;3;45;16;4;7;7
0.4762;0;1;32;12;2;12;12
0.5000;0;2;48;12;6;12;7
0.5000;0;0;49;11;20;7;7
0.5426;0;0;32;14;11;12;12
0.6482;0;0;50;17;6;14;16
0.6564;0;1;49;8;2;7;7
0.6642;0;3;33;12;7;12;7
0.7143;0;4;31;12;13;7;7
0.8190;0;3;41;12;9;12;7
0.8602;0;0;50;6;22;12;7
0.9615;0;2;38;12;6;7;7
1.0000;2;2;32;15;9;10;12
1.0000;0;0;60;14;30;12;17
1.0000;0;0;51;14;0;12;12
1.0000;0;3;32;12;1;12;7
1.0938;0;0;50;11;11;3;12
1.0965;0;3;34;12;6;7;7
1.0989;0;0;58;12;32;7;3
1.1111;0;0;54;12;14;7;7
1.1217;1;2;33;12;15;10;10
1.1293;0;1;53;14;17;12;12
1.1594;0;1;34;12;16;10;7
1.1765;0;8;37;12;15;12;7
1.1987;0;3;48;7;13;3;7
1.2019;0;0;50;12;11;7;7
1.2227;0;0;34;10;4;0;10
1.2245;0;0;53;9;11;3;7
1.2500;0;0;30;12;9;12;12
1.2500;0;3;34;14;19;17;12
1.2500;0;0;59;10;19;7;7
1.2564;0;3;45;8;3;7;7
1.3333;0;4;36;12;3;7;7
1.3472;0;3;35;11;9;16;10
1.3889;0;2;30;12;5;7;7
1.3889;0;3;33;13;6;10;12
1.4154;1;3;39;12;13;10;10
1.4815;1;3;35;13;6;7;16
1.5345;0;1;37;12;2;12;7
1.5385;0;0;50;11;32;7;7
1.5845;0;0;37;11;18;10;10
1.5990;0;0;45;12;6;7;7
1.6000;0;0;52;8;17;7;7
1.6000;0;0;46;12;3;3;7
1.6000;0;4;34;12;9;12;16
1.6070;0;0;44;10;14;10;10
1.6250;1;2;36;12;6;12;7
1.6264;0;0;51;9;29;7;7
1.6410;1;2;36;12;1;7;7
1.6667;2;0;33;12;11;12;12
1.6667;0;1;47;16;8;14;14
1.6667;0;1;32;11;4;10;9
1.6667;1;3;33;12;4;7;3
1.6760;0;1;44;13;4;10;10
1.6927;0;3;36;14;1;10;10
1.7108;0;0;52;12;26;10;7
1.7163;0;1;43;12;21;12;10
1.7407;0;4;37;8;4;7;7
1.7435;0;2;32;13;2;14;12
1.7442;0;1;49;14;14;16;16
1.7490;0;3;42;12;8;7;3
1.7500;0;0;54;12;3;7;12
1.7500;0;3;33;13;4;12;7
1.7778;1;2;40;17;8;16;17
1.7778;0;3;35;9;6;3;7
1.7821;0;0;41;12;7;7;3
1.8519;1;2;31;12;0;7;7
1.8578;0;3;38;12;14;7;7
1.8605;0;3;37;12;2;10;7
1.8605;0;0;45;12;23;12;12
1.8762;0;0;52;10;34;7;3
1.8824;0;3;43;12;7;7;7
1.8892;0;3;37;11;19;12;3
1.9000;0;2;37;12;2;12;12
1.9231;1;3;32;12;12;10;7
1.9724;0;3;37;11;4;7;7
1.9792;0;0;55;6;37;7;7
10.2040;0;2;47;14;7;14;12
10.2490;0;1;32;17;15;12;12
10.4590;0;0;52;17;19;14;17
10.6380;0;0;30;17;7;16;17
11.8480;0;1;48;17;21;7;12
11.9330;0;4;41;12;12;7;7
13.5540;0;0;46;17;23;12;12
14.6310;0;0;30;17;11;14;17
15.3850;0;1;44;17;17;3;3
17.9070;0;0;39;12;12;10;3
18.2670;0;0;56;11;9;7;7
2.0000;0;0;45;12;23;7;7
2.0000;0;3;30;12;6;12;7
2.0000;0;0;54;6;14;7;7
2.0000;0;5;52;12;9;7;12
2.0000;0;1;45;16;14;16;7
2.0161;0;2;48;16;10;14;16
2.0164;1;5;30;8;2;3;3
2.0325;0;0;47;5;9;7;12
2.0635;0;1;45;11;2;7;7
2.0710;0;3;37;12;6;10;10
2.0833;1;2;30;12;0;16;16
2.1143;0;0;46;16;7;12;12
2.1234;0;1;39;11;8;10;10
2.1262;0;2;48;12;24;7;7
2.1277;0;2;43;12;6;7;7
2.1429;0;2;39;12;6;12;7
2.1505;0;0;54;9;9;7;7
2.1545;1;1;31;12;4;12;7
2.1798;1;2;45;12;11;14;12
2.1875;0;2;39;12;6;7;7
2.2050;0;2;44;12;14;14;12
2.2222;2;1;30;14;12;10;12
2.2255;0;4;34;9;1;7;7
2.2324;0;2;32;10;1;10;10
2.2500;0;1;32;12;12;12;7
2.2668;0;2;43;12;14;10;10
2.2727;0;0;51;12;16;7;7
2.2754;0;0;54;12;19;12;7
2.2899;0;1;46;12;12;7;7
2.3111;0;0;59;10;14;12;7
2.3118;0;5;36;10;2;7;7
2.3185;0;1;39;9;21;9;9
2.3333;0;2;34;13;4;12;12
2.3585;0;1;51;12;6;7;7
2.3636;0;4;40;12;5;14;12
2.3747;0;1;54;16;11;12;7
2.3750;0;0;56;12;26;7;7
2.3753;0;0;46;12;17;3;3
2.3896;0;1;39;11;18;7;7
2.3897;0;0;38;12;19;12;12
2.4069;1;2;47;12;9;7;10
2.4213;0;2;34;13;2;12;12
2.4457;0;1;51;12;27;7;14
2.4484;0;1;41;8;16;7;12
2.4590;0;0;59;16;11;3;3
2.4631;0;0;47;12;6;7;7
2.4638;0;1;42;11;0;10;3
2.4725;1;1;33;15;11;12;12
2.4958;0;2;32;14;10;7;14
2.5000;0;2;42;14;5;7;7
2.5000;0;2;46;12;22;7;7
2.5000;1;3;33;12;4;10;3
2.5000;0;4;39;12;21;7;9
2.5253;0;4;31;9;2;10;7
2.5429;0;2;40;10;11;7;7
2.5554;0;0;58;12;6;7;12
2.5641;0;1;47;12;4;12;3
2.5654;0;2;41;11;2;3;7
2.5720;0;2;49;12;13;7;7
2.5729;1;2;31;16;6;14;16
2.6000;0;2;32;12;15;10;7
2.6000;0;0;51;12;14;7;7
2.6042;0;3;38;10;13;12;7
2.6331;1;5;39;10;12;7;7
2.6375;0;2;30;12;6;12;7
2.6375;0;0;48;12;17;7;7
2.6565;0;1;37;12;6;7;12
2.6667;0;2;37;12;11;7;7
2.6738;0;1;41;12;19;10;9
2.6786;1;2;30;12;1;12;12
2.6839;0;2;34;12;14;7;7
2.6871;0;2;44;9;19;7;10
2.7000;0;2;46;9;19;7;7
2.7027;0;0;46;12;24;10;16
2.7174;0;0;48;8;11;7;7
2.7629;0;3;54;13;19;7;7
2.7692;0;1;31;13;2;17;7
2.7778;0;3;35;12;11;7;7
2.7778;0;3;39;14;7;12;12
2.7961;0;1;45;12;22;7;7
2.8054;0;1;31;12;10;10;10
2.8500;0;2;41;12;23;7;7
2.8571;1;0;43;16;14;7;7
2.8818;0;1;36;12;14;7;7
2.8820;0;0;49;12;24;12;12
2.9000;0;0;34;12;16;7;7
2.9070;0;1;38;12;7;7;7
2.9167;0;0;34;12;11;12;7
2.9261;0;1;50;12;10;7;3
2.9310;0;0;41;11;23;12;12
2.9388;0;3;35;10;4;10;10
2.9412;0;0;41;14;15;7;10
2.9674;0;0;49;17;24;3;3
2.9762;0;3;37;12;4;10;7
2.9762;0;1;43;12;14;7;7
2.9891;0;0;30;12;11;7;7
21.4290;0;0;40;16;19;7;12
22.5000;1;1;34;17;7;14;16
23.4670;0;2;57;12;2;7;7
25.0000;0;2;40;12;2;7;7
25.0000;1;3;36;12;4;12;10
3.0000;0;1;49;12;11;7;7
3.0000;0;2;46;12;11;7;7
3.0277;0;2;33;11;15;7;7
3.0416;0;0;54;16;25;12;12
3.0612;1;0;30;12;15;12;7
3.0717;0;2;43;12;3;12;10
3.0769;0;3;41;12;9;7;7
3.0952;0;0;59;13;36;7;7
3.1381;0;0;32;12;14;12;12
3.1633;0;1;31;12;13;12;12
3.1666;0;3;37;12;19;12;7
3.1728;0;1;34;12;16;10;7
3.1975;0;2;31;13;4;7;3
3.2096;0;0;46;12;27;12;12
3.2134;0;0;47;8;11;12;12
3.2143;0;2;43;12;20;10;7
3.2313;0;3;47;12;26;7;7
3.2500;0;0;48;13;18;7;3
3.2500;0;0;45;12;15;7;7
3.2558;0;0;52;13;13;7;7
3.2986;0;2;34;12;10;12;16
3.3072;0;1;30;10;10;7;7
3.3159;0;1;47;12;16;10;7
3.3333;0;0;52;12;6;7;7
3.3333;1;2;33;12;3;7;7
3.3333;0;0;47;12;12;12;7
3.3540;1;0;32;12;14;12;7
3.3770;0;2;34;12;14;7;7
3.4014;0;1;44;12;19;7;10
3.4091;0;1;33;12;14;12;16
3.4091;0;2;34;16;8;12;12
3.4174;0;0;50;12;24;0;0
3.4450;0;0;43;16;25;14;10
3.4600;1;1;45;12;9;7;7
3.4615;0;4;39;11;11;10;7
3.4722;0;2;34;12;4;12;7
3.4916;0;0;52;8;25;7;7
3.5052;0;2;42;16;5;10;16
3.5354;0;4;43;12;10;12;12
3.5461;0;0;56;14;6;7;7
3.5500;0;0;45;13;10;12;7
3.5613;0;3;35;13;4;7;10
3.5616;0;0;47;12;14;7;7
3.5714;0;0;30;12;11;12;10
3.5714;0;1;51;12;14;7;14
3.5931;0;0;36;8;12;12;12
3.6364;1;0;33;12;15;7;7
3.6364;1;0;53;12;24;7;12
3.6458;0;0;59;16;31;14;12
3.6585;0;1;38;12;19;7;7
3.6667;1;3;38;17;1;12;10
3.6687;0;0;47;10;29;3;7
3.6694;0;3;40;12;7;12;12
3.6757;0;0;52;12;13;10;10
3.6797;0;1;43;10;6;7;7
3.6948;0;0;46;12;23;7;7
3.7294;0;0;45;12;13;10;10
3.7500;0;1;51;12;24;12;7
3.7500;0;1;40;12;8;12;7
3.7500;0;2;42;12;9;12;7
3.7500;0;1;46;14;7;14;14
3.7879;0;2;43;17;21;16;14
3.7879;0;2;51;12;8;7;7
3.7901;0;1;45;12;10;7;7
3.8068;0;3;45;16;27;12;12
3.8250;0;1;48;8;2;7;7
3.8613;0;0;47;10;8;7;12
3.8860;0;2;41;12;9;12;12
3.9002;0;0;43;12;25;7;7
3.9194;0;0;57;12;14;9;9
3.9286;0;1;43;14;14;7;7
3.9333;0;1;43;12;4;7;7
3.9557;0;0;47;17;9;10;17
3.9609;0;3;43;7;15;7;7
3.9683;1;2;35;16;7;14;7
3.9716;0;2;43;14;25;3;3
4.0000;0;0;59;12;31;3;7
4.0000;1;0;31;16;8;14;16
4.0000;0;0;46;11;19;7;7
4.0000;0;2;42;12;7;7;7
4.0161;0;1;45;13;25;10;10
4.0209;0;1;38;12;20;10;10
4.0437;0;0;31;16;9;12;12
4.0541;0;0;51;12;29;16;7
4.0625;0;3;36;16;14;14;7
4.0630;0;1;33;12;15;12;3
4.0816;0;3;36;10;15;7;0
4.0816;0;0;49;12;29;7;7
4.0816;0;1;30;12;7;12;12
4.0984;0;2;38;14;9;7;7
4.0984;0;1;47;16;9;16;16
4.0984;0;0;49;11;14;7;7
4.1167;0;0;46;12;22;7;7
4.1489;0;0;51;12;21;7;7
4.1667;0;3;43;12;8;12;12
4.2105;0;1;39;11;9;12;7
4.2339;0;1;37;12;11;10;7
4.2347;0;1;46;13;24;7;9
4.2877;0;4;49;12;17;7;7
4.3066;0;3;46;12;10;16;12
4.3295;0;3;43;12;9;12;14
4.3365;0;1;31;12;13;7;10
4.3651;0;0;47;12;18;7;10
4.3750;0;2;40;12;6;7;12
4.3884;0;2;43;12;3;14;7
4.3956;0;2;41;14;23;16;12
4.4000;0;3;40;14;19;14;3
4.4433;0;1;38;12;20;7;10
4.4444;0;0;50;12;22;7;12
4.4595;0;2;42;17;14;12;10
4.4687;0;3;31;9;13;10;3
4.4797;1;1;34;12;16;10;10
4.4859;1;3;36;11;10;7;3
4.5000;0;0;55;14;28;7;7
4.5351;0;1;46;10;28;10;3
4.5375;0;2;48;12;10;3;3
4.5408;0;1;40;12;9;12;12
4.5455;1;3;35;12;15;12;7
4.5503;0;1;44;12;8;16;7
4.5627;0;0;46;14;15;7;3
4.5645;0;0;53;12;35;12;12
4.5716;0;0;45;12;22;10;10
4.5918;1;2;31;14;7;12;14
4.5918;0;1;42;11;14;14;7
4.5990;0;0;55;14;35;17;7
4.6235;0;1;45;16;13;12;7
4.6667;0;4;35;8;7;10;7
4.6875;0;2;39;12;21;7;7
4.6875;0;2;48;12;14;12;12
4.6980;0;2;32;16;10;12;14
4.7269;0;3;32;12;9;3;7
4.7269;0;2;36;12;14;12;12
4.7421;0;0;54;12;33;14;7
4.7688;0;0;55;12;20;7;7
4.7826;2;0;32;17;14;7;7
4.7872;0;0;48;10;27;7;7
4.7986;0;2;44;12;16;7;0
4.8000;0;1;47;17;10;10;12
4.8583;0;1;45;12;24;7;3
4.8651;0;1;44;13;14;12;7
4.8966;0;0;49;12;11;7;7
4.9645;1;0;30;12;11;12;12
4.9689;0;3;36;12;10;12;17
4.9763;0;2;35;15;14;7;7
4.9819;0;1;48;12;19;12;14
5.0352;0;2;37;16;9;12;16
5.0872;0;1;32;12;11;7;7
5.0948;2;2;38;15;17;12;7
5.1230;0;2;32;12;6;12;7
5.1352;0;0;57;17;33;16;12
5.1648;0;0;58;9;29;7;9
5.1750;0;5;39;12;6;12;12
5.2000;0;0;55;12;0;7;7
5.2326;0;1;48;16;11;14;14
5.2521;0;1;46;15;8;7;12
5.3061;0;1;40;12;21;7;7
5.3398;0;3;43;17;6;12;12
5.3713;0;0;35;16;13;7;7
5.3826;0;0;45;12;24;0;0
5.3935;0;3;43;12;7;7;7
5.4113;0;1;34;13;15;12;12
5.4126;0;1;49;13;11;7;14
5.4167;1;1;31;16;13;12;10
5.4585;0;1;44;12;19;3;7
5.4945;0;2;36;17;9;12;14
5.5300;0;1;45;15;16;14;12
5.5320;0;1;46;17;13;14;17
5.5556;0;0;51;13;19;7;7
5.6122;0;1;54;12;22;7;7
5.6183;0;0;51;14;24;7;7
5.6391;0;1;47;12;9;7;3
5.7259;0;0;33;12;12;12;12
5.7870;0;3;42;16;3;12;14
5.8065;0;1;30;12;12;10;7
5.8140;0;3;46;12;15;10;7
5.8511;0;2;36;13;16;12;10
5.8671;0;0;42;12;7;12;12
5.8675;0;2;43;13;22;7;7
6.0000;0;0;37;16;15;12;7
6.0000;0;2;45;12;9;7;10
6.0449;1;2;34;17;2;12;12
6.2275;0;2;35;16;7;16;16
6.2500;0;0;47;12;15;7;7
6.2500;1;0;36;14;18;7;7
6.2500;0;0;52;12;24;7;7
6.2500;0;0;50;12;28;7;7
6.3218;0;2;35;12;16;10;10
6.4775;0;1;50;17;12;16;12
6.5826;0;1;36;12;19;12;12
6.6327;0;1;48;12;29;7;7
6.6327;0;1;39;12;19;12;12
6.6335;0;0;58;12;33;3;7
6.7669;0;2;36;17;3;7;7
6.8182;1;2;36;16;3;12;10
6.8493;0;2;32;13;12;12;10
6.8677;0;0;52;14;18;14;12
6.8750;0;0;30;14;12;12;12
6.9444;0;2;46;17;14;12;16
6.9901;0;2;45;17;10;10;14
7.0153;0;0;41;16;19;7;7
7.0667;0;3;40;12;4;7;7
7.0968;0;0;54;17;8;10;17
7.1429;0;0;45;17;22;14;12
7.2146;0;0;56;14;38;7;7
7.2559;1;0;31;17;7;12;12
7.4024;0;3;40;16;17;16;14
7.5529;0;4;35;12;9;12;7
7.6218;0;0;51;16;19;16;16
7.6522;0;2;43;17;13;12;14
7.8431;0;0;54;12;35;3;3
7.8947;0;1;43;10;13;12;9
7.9208;0;4;46;16;17;12;10
8.0357;0;0;38;12;19;7;3
8.0409;0;0;34;17;10;17;17
8.1746;1;0;30;16;9;16;14
8.1900;0;0;47;17;6;7;7
8.2237;2;4;34;10;11;0;0
8.3333;0;2;37;16;11;14;7
8.3333;0;1;54;17;29;7;12
8.3333;0;5;37;14;13;7;7
8.4224;0;0;49;17;28;12;12
8.5333;0;1;38;13;8;10;12
8.5551;0;2;38;17;10;12;14
8.6111;0;2;32;17;4;12;12
8.6538;0;4;36;14;9;10;12
8.9286;0;0;54;16;16;14;7
9.3023;2;0;31;17;7;12;12
9.3294;0;1;49;12;18;9;9
9.5057;1;1;34;16;7;12;17
9.5785;0;0;35;17;9;12;17
9.5971;0;0;52;13;4;10;7
9.6354;0;0;55;14;37;7;7
9.8611;0;0;47;17;8;7;7
9.9331;1;5;41;12;4;3;7
